,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
3489,LAX,TUS,451.0,1,21,8,Summer,2023-07-17 22:30:00,1350,Evening,86.0,2356,OO,4,3,7,16,4,1,-5.0,-3.0,On-time,2006-08-21,22,23
3490,DEN,MCI,533.0,2,7,2,Winter,2023-07-17 21:25:00,1285,Evening,90.0,2355,UA,6,3,9,10,2,1,-5.0,-11.0,On-time,2006-02-07,21,23
3491,DFW,ELP,551.0,6,2,9,Autumn,2023-07-17 13:43:00,823,Afternoon,95.0,1418,AA,7,3,10,12,2,1,-1.0,13.0,Slightly delayed,2006-09-02,13,14
3492,LAS,ORD,1515.0,2,4,7,Summer,2023-07-17 16:08:00,968,Afternoon,223.0,2151,US,4,11,15,17,2,4,7.0,-3.0,On-time,2006-07-04,16,21
3493,SJC,PDX,569.0,6,7,1,Winter,2023-07-17 12:15:00,735,Afternoon,106.0,1401,AS,3,3,6,8,2,1,-13.0,-16.0,On-time,2006-01-07,12,14
3494,ORF,ATL,516.0,7,26,11,Autumn,2023-07-17 06:00:00,360,Morning,107.0,0747,DL,2,5,7,10,1,3,-10.0,-14.0,On-time,2006-11-26,6,7
3495,OAK,SAN,446.0,7,12,11,Autumn,2023-07-17 21:10:00,1270,Evening,85.0,2235,WN,4,1,5,11,1,1,40.0,29.0,Moderately delayed,2006-11-12,21,22
3496,SJC,SLC,585.0,2,20,6,Summer,2023-07-17 06:30:00,390,Morning,109.0,0919,DL,3,4,7,25,1,1,9.0,3.0,Slightly delayed,2006-06-20,6,9
3497,ORD,ORF,717.0,6,30,9,Autumn,2023-07-17 13:20:00,800,Afternoon,130.0,1630,MQ,11,2,13,13,3,1,-5.0,-19.0,On-time,2006-09-30,13,16
3498,AUS,LAS,1090.0,5,31,3,Spring,2023-07-17 12:40:00,760,Afternoon,180.0,1340,WN,2,4,6,11,1,1,0.0,-10.0,On-time,2006-03-31,12,13
3499,ATL,RIC,481.0,5,5,5,Spring,2023-07-17 12:08:00,728,Afternoon,93.0,1341,DL,5,3,8,14,2,1,61.0,65.0,Excessively delayed,2006-05-05,12,13
3500,LGA,ORD,733.0,3,9,8,Summer,2023-07-17 07:15:00,435,Morning,140.0,0835,AA,3,11,14,11,1,3,-4.0,-4.0,On-time,2006-08-09,7,8
3501,DTW,DFW,987.0,4,28,9,Autumn,2023-07-17 19:05:00,1145,Evening,170.0,2055,AA,6,7,13,13,1,1,-5.0,-8.0,On-time,2006-09-28,19,20
3502,ALB,BWI,288.0,4,25,5,Spring,2023-07-17 13:05:00,785,Afternoon,70.0,1415,WN,2,4,6,10,1,1,5.0,-3.0,On-time,2006-05-25,13,14
3503,TUS,PHX,110.0,7,17,9,Autumn,2023-07-17 14:35:00,875,Afternoon,49.0,1524,YV,3,3,6,21,1,3,35.0,34.0,Moderately delayed,2006-09-17,14,15
3504,SEA,JFK,2421.0,1,7,8,Summer,2023-07-17 23:45:00,1425,Evening,312.0,0757,DL,4,4,8,18,2,3,225.0,211.0,Excessively delayed,2006-08-07,23,7
3505,MIA,RDU,700.0,2,10,10,Autumn,2023-07-17 11:50:00,710,Morning,120.0,1350,AA,4,3,7,14,2,1,-2.0,17.0,Moderately delayed,2006-10-10,11,13
