,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date
138,MDW,RSW,1105.0,4,15,6,Summer,08:30:00,510,Morning,170.0,1220,WN,5,1,6,19,1,1,0.0,-18.0,On-time,2006-06-15
139,CVG,SLC,1449.0,7,19,11,Autumn,09:00:00,540,Morning,228.0,1048,DL,4,4,8,8,1,1,15.0,8.0,Slightly delayed,2006-11-19
140,CVG,BGR,906.0,1,22,5,Spring,20:40:00,1240,Evening,142.0,2302,OH,4,1,5,16,2,1,5.0,-3.0,On-time,2006-05-22
141,ANC,DFW,3043.0,1,25,9,Autumn,22:10:00,1330,Evening,390.0,740,AA,3,7,10,17,1,3,16.0,-11.0,On-time,2006-09-25
142,MSP,SEA,1399.0,6,3,6,Summer,21:35:00,1295,Evening,212.0,2307,NW,4,4,8,12,2,1,1.0,12.0,Slightly delayed,2006-06-03
143,LAS,FAT,258.0,2,1,8,Summer,12:10:00,730,Afternoon,84.0,1334,US,4,2,6,16,2,1,4.0,5.0,Slightly delayed,2006-08-01
144,SAV,IAD,515.0,6,28,1,Winter,12:00:00,720,Afternoon,105.0,1345,YV,2,4,6,12,1,1,-1.0,-18.0,On-time,2006-01-28
145,LAS,PVD,2363.0,2,31,1,Winter,15:30:00,930,Afternoon,295.0,2325,WN,4,2,6,16,3,1,-5.0,-10.0,On-time,2006-01-31
146,PHX,YUM,160.0,5,4,8,Summer,16:21:00,981,Afternoon,60.0,1721,YV,3,4,7,17,1,1,64.0,64.0,Excessively delayed,2006-08-04
147,HOU,BWI,1246.0,4,4,5,Spring,19:30:00,1170,Evening,180.0,2330,WN,4,4,8,16,1,2,45.0,35.0,Moderately delayed,2006-05-04
148,BDL,CLT,644.0,4,9,3,Spring,18:30:00,1110,Evening,123.0,2033,US,3,4,7,18,1,1,13.0,24.0,Moderately delayed,2006-03-09
149,ORD,SAT,1041.0,2,24,1,Winter,10:00:00,600,Morning,181.0,1301,UA,11,3,14,14,3,1,-3.0,-19.0,On-time,2006-01-24
150,PIT,ATL,526.0,3,30,8,Summer,13:20:00,800,Afternoon,100.0,1500,EV,4,5,9,13,1,3,5.0,10.0,Slightly delayed,2006-08-30
151,ATL,DEN,1199.0,7,9,7,Summer,09:10:00,550,Morning,200.0,1030,FL,5,6,11,14,3,2,12.0,5.0,Slightly delayed,2006-07-09
152,RDU,AUS,1162.0,4,15,6,Summer,17:40:00,1060,Afternoon,180.0,1940,MQ,3,2,5,19,1,1,16.0,19.0,Moderately delayed,2006-06-15
153,SFO,IAD,2419.0,4,5,1,Winter,07:55:00,475,Morning,305.0,1600,UA,4,4,8,17,1,1,-2.0,-4.0,On-time,2006-01-05
154,MCO,PVD,1073.0,4,28,12,Winter,17:30:00,1050,Afternoon,160.0,2010,WN,4,2,6,14,1,1,28.0,17.0,Moderately delayed,2006-12-28
155,SLC,BOI,291.0,1,3,7,Summer,08:05:00,485,Morning,70.0,915,EV,4,3,7,11,2,1,0.0,-15.0,On-time,2006-07-03
156,ORD,SGF,438.0,6,26,8,Summer,07:50:00,470,Morning,95.0,925,OO,11,2,13,11,1,1,-5.0,-25.0,On-time,2006-08-26
157,HNL,KOA,163.0,7,14,5,Spring,10:45:00,645,Morning,43.0,1128,HA,6,1,7,16,1,1,-6.0,-9.0,On-time,2006-05-14
158,SFO,ORD,1846.0,5,11,8,Summer,23:59:00,1439,Evening,239.0,558,UA,4,11,15,15,1,2,1.0,4.0,Slightly delayed,2006-08-11
159,ATL,DTW,594.0,2,31,10,Autumn,12:25:00,745,Afternoon,119.0,1424,NW,5,6,11,15,2,2,-10.0,-10.0,On-time,2006-10-31
160,PBI,PIT,952.0,2,28,2,Winter,12:25:00,745,Afternoon,154.0,1459,US,3,4,7,14,1,1,-2.0,17.0,Moderately delayed,2006-02-28
161,DTW,PHX,1671.0,3,14,6,Summer,19:25:00,1165,Evening,244.0,2029,US,6,3,9,11,1,1,-1.0,10.0,Slightly delayed,2006-06-14
162,ATL,MIA,595.0,6,24,6,Summer,12:28:00,748,Afternoon,105.0,1413,FL,5,4,9,16,4,2,10.0,5.0,Slightly delayed,2006-06-24
163,ATL,CLT,227.0,2,21,2,Winter,07:00:00,420,Morning,64.0,804,DL,5,4,9,20,6,2,0.0,-2.0,On-time,2006-02-21
164,TUS,LAX,451.0,3,27,12,Winter,10:50:00,650,Morning,90.0,1120,WN,3,4,7,19,1,3,35.0,45.0,Moderately delayed,2006-12-27
165,ONT,IAH,1334.0,1,25,9,Autumn,06:50:00,410,Morning,191.0,1201,CO,2,5,7,17,2,2,-6.0,-19.0,On-time,2006-09-25
166,DFW,DEN,641.0,3,28,6,Summer,10:40:00,640,Morning,114.0,1134,AA,7,6,13,21,2,6,2.0,4.0,Slightly delayed,2006-06-28
167,CVG,GSP,317.0,4,11,5,Spring,08:25:00,505,Morning,70.0,935,EV,4,1,5,14,1,2,-1.0,-5.0,On-time,2006-05-11
168,MEM,ATL,332.0,6,1,4,Spring,06:00:00,360,Morning,76.0,816,FL,4,5,9,14,1,2,-10.0,-11.0,On-time,2006-04-01
169,RDU,BDL,532.0,6,30,9,Autumn,16:05:00,965,Afternoon,95.0,1740,MQ,3,3,6,13,1,1,-11.0,-24.0,On-time,2006-09-30
170,CVG,CAK,214.0,6,17,6,Summer,18:50:00,1130,Evening,59.0,1949,OH,4,3,7,11,1,2,0.0,-7.0,On-time,2006-06-17
171,SEA,BOS,2496.0,5,21,7,Summer,22:15:00,1335,Evening,308.0,623,AS,4,6,10,14,3,2,5.0,25.0,Moderately delayed,2006-07-21
172,RSW,JFK,1074.0,2,7,3,Spring,16:50:00,1010,Afternoon,160.0,1930,B6,1,4,5,13,1,3,49.0,72.0,Excessively delayed,2006-03-07
173,MSP,BIL,748.0,7,6,8,Summer,11:45:00,705,Morning,134.0,1259,NW,4,3,7,16,2,1,3.0,-12.0,On-time,2006-08-06
174,ISP,FLL,1093.0,3,20,9,Autumn,17:50:00,1070,Afternoon,180.0,2050,WN,4,3,7,13,1,1,-7.0,-20.0,On-time,2006-09-20
